datetime,symbol,open,high,low,close,volume
2025-03-17 19:45:00,FOREXCOM:XAUUSD,2989.39,2991.525,2987.19,2988.395,0.0
2025-03-17 20:00:00,FOREXCOM:XAUUSD,2988.395,2993.48,2987.19,2993.195,0.0
2025-03-17 20:15:00,FOREXCOM:XAUUSD,2993.195,2998.16,2992.87,2997.985,0.0
2025-03-17 20:30:00,FOREXCOM:XAUUSD,2997.985,3000.485,2996.295,2999.84,0.0
2025-03-17 20:45:00,FOREXCOM:XAUUSD,2999.84,3000.585,2998.31,2998.78,0.0
2025-03-17 21:00:00,FOREXCOM:XAUUSD,2998.78,2999.435,2994.645,2995.88,0.0
2025-03-17 21:15:00,FOREXCOM:XAUUSD,2995.88,2996.91,2993.04,2996.04,0.0
2025-03-17 21:30:00,FOREXCOM:XAUUSD,2996.04,2998.06,2994.585,2996.53,0.0
2025-03-17 21:45:00,FOREXCOM:XAUUSD,2996.53,2998.67,2996.235,2997.23,0.0
2025-03-17 22:00:00,FOREXCOM:XAUUSD,2997.23,2997.44,2994.675,2996.73,0.0
